ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,staff_level
0,2022-12-19,5.2832037287379885,13.0,27.88727268,45.36285391,0,0,7.740586989,Intermediate,Dairy,High
1,2023-11-21,5.501258210544727,15.0,10.31787225,64.43047525,1,0,42.31177881,Unknown,Meat,High
2,2022-02-01,5.003946305945459,16.0,27.71430012,69.04611285,1,0,41.18430513,Beginner,Meat,High
3,2023-03-19,5.062595033026967,19.0,19.17390198,46.29282284,6,0,41.5434925,Beginner,Meat,High
4,2022-07-18,5.697093486505405,10.0,26.37523347,79.74106395,0,0,26.52509668,Intermediate,Meat,Medium
5,2023-03-02,5.488937726156687,18.0,16.86350635,79.2859195,3,0,11.83487776,Intermediate,Dairy,High
6,2022-04-18,6.095824562432225,16.0,19.8886271,77.32813583,0,0,22.86265878,Beginner,Vegetables,High
7,2023-12-16,6.0330862217988015,16.0,18.5595909,75.78650182,5,1,34.59944225,Intermediate,Meat,High
8,2023-07-07,6.0867747269123065,18.0,24.11102727,43.39580313,4,0,17.45914863,Expert,Dairy,High
9,2023-11-07,5.5909869805108565,7.0,25.41249317,89.40518256,1,0,23.06739248,Expert,Grains,Medium
10,2022-06-08,6.1903154058531475,15.0,20.96518041,53.39234118,2,0,41.07579319,Expert,Meat,High
11,2023-04-21,6.037870919922137,13.0,19.56315701,82.53067359,4,0,25.04342845,Intermediate,Vegetables,High
12,2022-01-25,5.932245187448011,19.0,-4.0005944125,54.49838057,1,0,36.25941978,Expert,Meat,High
13,2023-09-10,5.921578419643816,5.0,30.22208654,63.6524678,6,0,49.63501382,Intermediate,Grains,Low
14,2023-04-29,5.937536205082426,12.0,12.32322861,68.06038438,5,0,41.14602071,Unknown,Meat,High
15,2024-06-03,5.583496308781699,12.0,15.6852374,63.32972545,0,0,26.92454031,Beginner,Meat,High
16,2023-10-13,7.353081920515432,8.0,23.74040109,48.59999623,4,0,11.25509923,Expert,Dairy,Medium
17,2022-09-02,5.648974238161206,8.0,18.91830133,36.07559488,4,1,7.659761939,Beginner,Dairy,Medium
18,2024-04-27,4.9344739331306915,17.0,31.11973591,67.67960296,5,0,21.02418883,Intermediate,Vegetables,High
19,2024-09-09,5.537334267018537,17.0,12.76871113,42.37304431,0,0,6.584682809,Unknown,Dairy,High
20,2024-04-08,5.030437921392435,8.0,32.7347548,48.53006544,0,0,27.15630366,Expert,Grains,Medium
21,2023-07-25,7.01301578963963,11.0,15.52006574,58.40405289,1,0,38.87818951,Beginner,Vegetables,High
22,2022-03-01,6.0867747269123065,18.0,13.28337816,56.99053248,1,0,22.96250575,Intermediate,Dairy,High
23,2022-10-18,5.869296913133774,11.0,10.43789977,70.64323929,1,1,17.26927913,Expert,Meat,High
24,2022-03-12,6.194405391104672,8.0,18.01856851,73.81476883,5,0,36.51943096,Expert,Meat,Medium
25,2022-12-11,6.142037405587356,11.0,12.72295855,58.58900303,6,0,23.69813284,Intermediate,Vegetables,High
26,2022-07-04,6.066108090103747,18.0,20.39768415,74.99104587,0,0,13.9735219,Expert,Grains,High
27,2022-05-22,5.872117789475416,15.0,24.86941593,56.31230931,6,0,28.56485372,Intermediate,Meat,High
28,2023-01-26,5.726847747587197,15.0,12.80760861,48.36824045,3,0,18.20906566,Expert,Meat,High
29,2023-05-07,5.82600010738045,8.0,12.94122571,68.06544872,6,0,43.68558133,Intermediate,Grains,Medium
30,2024-04-06,5.883322388488279,18.0,11.24605069,62.44407403,5,0,43.56339866,Pro,Grains,High
31,2022-04-12,4.74493212836325,8.0,24.75659847,38.25142649,1,0,25.34389686,Unknown,Meat,Medium
32,2024-01-20,4.61512051684126,15.0,28.90661645,30.6054364,5,0,15.80987449,Beginner,Meat,High
33,2023-07-06,5.560681631015528,5.0,19.66152103,74.34159347,3,0,11.18127857,Intermediate,Grains,Low
34,2022-11-03,5.1647859739235145,15.0,17.95278884,73.84908172,3,0,49.73367446,Intermediate,Vegetables,High
35,2024-09-13,6.154858094016418,9.0,26.29169797,84.9154311,4,0,29.18032236,Intermediate,Dairy,Medium
36,2022-11-18,5.572154032177765,13.0,19.3918063,58.00692463,4,0,34.51564909,Intermediate,Dairy,High
37,2024-03-10,5.389071729816501,8.0,22.4041596,31.85147426,6,0,34.77667305,Beginner,Dairy,Medium
38,2024-01-01,5.60947179518496,11.0,16.94755243,32.85847545,0,0,30.91036382,Unknown,Meat,High
39,2023-11-09,6.20050917404269,9.0,11.09339065,59.68051138,3,0,14.92289542,Intermediate,Grains,Medium
40,2023-10-16,5.638354669333745,18.0,20.60742215,76.88093044,0,1,14.55285388,Beginner,Grains,High
41,2022-03-18,5.762051382780177,16.0,24.06875716,50.4243506,4,0,46.58484722,Beginner,Dairy,High
42,2022-07-12,5.948034989180646,12.0,24.70145945,36.9442564,1,0,5.655521964,Intermediate,Vegetables,High
43,2022-03-28,5.66988092298052,7.0,29.9199457,69.52950421,0,0,29.77122997,Intermediate,Meat,Medium
44,2023-04-04,5.891644211825771,11.0,19.0736068,63.89906146,1,0,29.566559,Intermediate,Meat,High
45,2022-02-18,5.58724865840025,9.0,14.39613291,72.46129958,4,0,39.71804279,Intermediate,Meat,Medium
46,2024-07-07,6.1903154058531475,6.0,24.00455646,56.9450847,6,0,25.59088995,Unknown,Grains,Medium
47,2022-01-04,5.726847747587197,11.0,15.74021462,74.2841474,1,0,22.28191873,Beginner,Meat,High
48,2022-11-06,6.0867747269123065,12.0,28.81069407,72.653083,6,1,26.997533876241413,Expert,Meat,High
49,2024-01-14,4.787491742782046,19.0,30.99909951,65.42586539,6,0,41.55467811,Intermediate,Dairy,High
50,2024-05-23,5.863631175598097,17.0,17.71746858,66.06616174,3,0,7.57896395,Intermediate,Dairy,High
51,2023-02-03,6.091309882077698,5.0,19.01931298,70.90491865,4,0,41.72355691,Intermediate,Meat,Low
52,2023-09-09,5.955837369464831,15.0,33.57077854,57.51587661,5,0,8.089189977,Unknown,Meat,High
53,2022-02-19,5.924255797414532,10.0,21.71348542,88.36657937,5,0,34.33553895,Unknown,Dairy,Medium
54,2022-07-19,5.4680601411351315,5.0,34.80333291,89.4757936,1,0,5.945949803,Expert,Vegetables,Low
55,2023-08-22,5.7899601708972535,6.0,19.28521419,33.63773556,1,0,29.0735003,Intermediate,Grains,Medium
56,2024-08-27,5.8664680569332965,15.0,34.49456145,49.98209231,1,0,14.91435944,Expert,Meat,High
57,2024-06-01,6.0112671744041615,14.0,23.62763821,62.86708166,5,1,13.27030993,Intermediate,Unknown,High
58,2023-05-13,5.241747015059643,19.0,22.74310617,54.94785004,5,0,35.44900857,Unknown,Vegetables,High
59,2023-08-27,5.529429087511423,11.0,13.73094445,43.81505524,6,0,17.57503883,Beginner,Dairy,High
60,2022-01-11,6.066108090103747,16.0,12.10245561,48.89517532,1,0,8.646737471,Beginner,Meat,High
61,2024-06-07,5.327876168789581,10.0,23.72096642,61.18225577,4,0,17.58363433,Intermediate,Meat,Medium
62,2023-11-02,5.8664680569332965,12.0,21.85840275,54.16586391,3,0,42.34195691,Intermediate,Vegetables,High
63,2024-07-26,4.804021044733257,15.0,16.91104226,69.89967097,4,0,16.29006424,Intermediate,Meat,High
64,2024-07-17,5.560681631015528,13.0,21.29242048,53.13681077,2,0,49.15317015,Intermediate,Wheat,High
65,2023-07-12,6.173786103901937,13.0,25.48744379,62.90292217,2,0,19.02072828,Intermediate,Wheat,High
66,2023-09-29,6.182084906716632,11.0,28.65518144,40.56572828,4,0,35.33078907,Expert,Dairy,High
67,2024-04-14,5.181783550292085,9.0,19.97090074,43.60364294,6,0,28.2054448,Intermediate,Vegetables,Medium
68,2023-08-06,5.247024072160486,9.0,19.67696901,73.53763202,6,0,38.72205575,Intermediate,Meat,Medium
69,2022-11-30,5.68697535633982,9.0,10.36667643,56.47342282,2,0,23.55813772,Beginner,Meat,Medium
70,2022-07-30,5.278114659230518,18.0,19.32121593,79.00339215,5,0,38.40320922,Intermediate,Dairy,High
